source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
7f883203-6094-e511-814c-000c2902c387	Mastadenovirus encephalomyelitidis	RG2	3241422	Mastadenovirus encephalomyelitidis	Mastadenovirus encephalomyelitidis
7f883203-6094-e511-814c-000c2902c387	Mastadenovirus encephalomyelitidis	RG2	3241422	Mastadenovirus encephalomyelitidis	Murine adenovirus
7f883203-6094-e511-814c-000c2902c387	Mastadenovirus encephalomyelitidis	RG2	3241422	Mastadenovirus encephalomyelitidis	Murine adenovirus A
7f8e6bc1-5f94-e511-814c-000c2902c387	Cyvirus cyprinidallo3	RG1	3050271	Cyvirus cyprinidallo3	Carp nephritis virus
7f8e6bc1-5f94-e511-814c-000c2902c387	Cyvirus cyprinidallo3	RG1	3050271	Cyvirus cyprinidallo3	CyHV3
7f8e6bc1-5f94-e511-814c-000c2902c387	Cyvirus cyprinidallo3	RG1	3050271	Cyvirus cyprinidallo3	Cyprinid herpesvirus 3
7f8e6bc1-5f94-e511-814c-000c2902c387	Cyvirus cyprinidallo3	RG1	3050271	Cyvirus cyprinidallo3	Gill necrosis virus
7f8e6bc1-5f94-e511-814c-000c2902c387	Cyvirus cyprinidallo3	RG1	3050271	Cyvirus cyprinidallo3	Koi herpesvirus
7f957daf-5f94-e511-814c-000c2902c387	Mastadenovirus bosprimum	RG2	3241408	Mastadenovirus bosprimum	Bovine adenovirus 1
7f957daf-5f94-e511-814c-000c2902c387	Mastadenovirus bosprimum	RG2	3241408	Mastadenovirus bosprimum	Bovine adenovirus A
7f957daf-5f94-e511-814c-000c2902c387	Mastadenovirus bosprimum	RG2	3241408	Mastadenovirus bosprimum	Mastadenovirus bosprimum
7fa3d076-57d3-ef11-817e-0050568253d3	Alphainfluenzavirus influenzae H3N9	RG2	333276	H3N9 subtype	Alphainfluenzavirus influenzae H3N9
