source_id	source_name	human_classification	canonical_taxid	canonical_taxon_name	lookup_name
5ae3e72e-4d43-ed11-815d-0050568253d3	Influenza A-like virus H17N10	RG2	1129344	H17N10 subtype	Influenza A-like virus H17N10
5b5575b5-5f94-e511-814c-000c2902c387	Orthoflavivirus cacipacoreense	RG3	3052463	Orthoflavivirus cacipacoreense	Cacipacore virus
5b967daf-5f94-e511-814c-000c2902c387	Bocaparvovirus ungulate1	RG1	3052045	Bocaparvovirus ungulate1	Bovine parvovirus
5b967daf-5f94-e511-814c-000c2902c387	Bocaparvovirus ungulate1	RG1	3052045	Bocaparvovirus ungulate1	Ungulate bocaparvovirus 1
5bc836e3-00e4-e711-8113-0050568253d3	Betabaculovirus cryleucotretae	RG1	3047776	Betabaculovirus cryleucotretae	Cryptophlebia leucotreta granulovirus
5bf969c7-5f94-e511-814c-000c2902c387	Mastadenovirus equi	RG1	3241423	Mastadenovirus equi	Equine adenovirus
5bf969c7-5f94-e511-814c-000c2902c387	Mastadenovirus equi	RG1	3241423	Mastadenovirus equi	Equine adenovirus A
5bf969c7-5f94-e511-814c-000c2902c387	Mastadenovirus equi	RG1	3241423	Mastadenovirus equi	Mastadenovirus equi
5c500c27-6094-e511-814c-000c2902c387	Phlebovirus florisense	RG2	3052649	Phlebovirus florisense	Saint Floris virus
5d44d8b3-03e4-e711-8113-0050568253d3	Gammabaculovirus nelecontei	RG1	3048221	Gammabaculovirus nelecontei	Neodiprion lecontei nucleopolyhedrovirus
5d873203-6094-e511-814c-000c2902c387	Orthobunyavirus mpokoense	RG2	3052424	Orthobunyavirus mpokoense	M'Poko virus
5d873203-6094-e511-814c-000c2902c387	Orthobunyavirus mpokoense	RG2	3052424	Orthobunyavirus mpokoense	MPoko orthobunyavirus
5d8882a3-5f94-e511-814c-000c2902c387	Sripuvirus almpiwar	RG2	1985693	Sripuvirus almpiwar	Almpiwar sripuvirus
5d8882a3-5f94-e511-814c-000c2902c387	Sripuvirus almpiwar	RG2	1985693	Sripuvirus almpiwar	Almpiwar virus
5dfa56df-5f94-e511-814c-000c2902c387	Orthorubulavirus hominis	RG2	3052556	Orthorubulavirus hominis	Human orthorubulavirus 4
5dfa56df-5f94-e511-814c-000c2902c387	Orthorubulavirus hominis	RG2	3052556	Orthorubulavirus hominis	Human parainfluenza virus 4
5dfa56df-5f94-e511-814c-000c2902c387	Orthorubulavirus hominis	RG2	3052556	Orthorubulavirus hominis	Human rubulavirus 4
5e3747eb-5f94-e511-814c-000c2902c387	Orthoflavivirus kedougouense	RG3	3052467	Orthoflavivirus kedougouense	Kedougou virus
5e64b8e1-01e4-e711-8113-0050568253d3	Betabaculovirus helarmigerae	RG1	3047946	Betabaculovirus helarmigerae	Helicoverpa armigera granulovirus
5e76f7fb-19a9-ef11-817c-0050568253d3	Alphainfluenzavirus influenzae H11N6	RG2	195471	H11N6 subtype	Alphainfluenzavirus influenzae H11N6
5e957daf-5f94-e511-814c-000c2902c387	Orthoflavivirus boubouiense	RG2	3047696	Orthoflavivirus boubouiense	Bouboui virus
5f7c181b-6094-e511-814c-000c2902c387	Circovirus porcine1	RG1	3048278	Circovirus porcine1	Porcine circovirus 1
5fab899d-5f94-e511-814c-000c2902c387	Macavirus alcelaphinegamma2	RG1	3050135	Macavirus alcelaphinegamma2	Alcelaphine gammaherpesvirus 2
5fab899d-5f94-e511-814c-000c2902c387	Macavirus alcelaphinegamma2	RG1	3050135	Macavirus alcelaphinegamma2	Alcelaphine herpesvirus 2
5fd9446c-b1f4-e711-8114-0050568253d3	Roseolovirus humanbeta6b	RG2	3050297	Roseolovirus humanbeta6b	Human betaherpesvirus 6B
60caeb44-6094-e511-814c-000c2902c387	Orbivirus deltamitchellense	RG2	3431244	Orbivirus deltamitchellense	Orbivirus deltamitchellense
60df3cf7-5f94-e511-814c-000c2902c387	Orthoflavivirus loupingi	RG3	3048184	Orthoflavivirus loupingi	Louping ill virus
611d5fd9-5f94-e511-814c-000c2902c387	Bandavirus heartlandense	RG2	3051992	Bandavirus heartlandense	Heartland virus
611e072d-6094-e511-814c-000c2902c387	Orthoflavivirus saumarezense	RG3	3048314	Orthoflavivirus saumarezense	Saumarez Reef virus
611f5fd9-5f94-e511-814c-000c2902c387	Deltapolyomavirus sextihominis	RG2	2955746	Deltapolyomavirus sextihominis	Human polyomavirus 6
624d0c27-6094-e511-814c-000c2902c387	Bandavirus razdanense	RG3	3051994	Bandavirus razdanense	Razdan bandavirus
624d0c27-6094-e511-814c-000c2902c387	Bandavirus razdanense	RG3	3051994	Bandavirus razdanense	Razdan virus
628a82a3-5f94-e511-814c-000c2902c387	Alpharetrovirus avileu	RG1	3426267	Alpharetrovirus avileu	Alpharetrovirus avileu
628a82a3-5f94-e511-814c-000c2902c387	Alpharetrovirus avileu	RG1	3426267	Alpharetrovirus avileu	Avian erythroblastosis virus
